"","pred","cumprospects","cumresp","PctProspect","PctResp"
"618",0.621966359677077,1,0,0.000614628149969269,0
"1309",0.573902505388259,2,0,0.00122925629993854,0
"158",0.518017407858444,3,0,0.00184388444990781,0
"68",0.347806766599454,4,0,0.00245851259987707,0
"1025",0.325109415836605,5,0,0.00307314074984634,0
"500",0.28768491752021,6,0,0.00368776889981561,0
"707",0.261648774435651,7,0,0.00430239704978488,0
"247",0.256421304566648,8,0,0.00491702519975415,0
"482",0.256421304566648,9,0,0.00553165334972342,0
"1451",0.241043684759641,10,1,0.00614628149969269,0.0108695652173913
"1162",0.23800174201214,11,1,0.00676090964966195,0.0108695652173913
"415",0.225559003268618,12,1,0.00737553779963122,0.0108695652173913
"715",0.225559003268618,13,1,0.00799016594960049,0.0108695652173913
"1116",0.225559003268618,14,1,0.00860479409956976,0.0108695652173913
"1160",0.225559003268618,15,2,0.00921942224953903,0.0217391304347826
"1240",0.225559003268618,16,2,0.0098340503995083,0.0217391304347826
"379",0.217154683315295,17,2,0.0104486785494776,0.0217391304347826
"690",0.214804689365212,18,2,0.0110633066994468,0.0217391304347826
"553",0.211544436412735,19,3,0.0116779348494161,0.0326086956521739
"185",0.197551135127331,20,3,0.0122925629993854,0.0326086956521739
"994",0.197551135127331,21,3,0.0129071911493546,0.0326086956521739
"1469",0.197551135127331,22,3,0.0135218192993239,0.0326086956521739
"396",0.197185650980826,23,3,0.0141364474492932,0.0326086956521739
"595",0.197185650980826,24,4,0.0147510755992624,0.0434782608695652
"1245",0.197185650980826,25,4,0.0153657037492317,0.0434782608695652
"476",0.194555308300368,26,4,0.015980331899201,0.0434782608695652
"1030",0.194555308300368,27,4,0.0165949600491703,0.0434782608695652
"1277",0.194555308300368,28,4,0.0172095881991395,0.0434782608695652
"1424",0.194555308300368,29,4,0.0178242163491088,0.0434782608695652
"1518",0.194555308300368,30,4,0.0184388444990781,0.0434782608695652
"1539",0.194555308300368,31,4,0.0190534726490473,0.0434782608695652
"732",0.182899236906717,32,4,0.0196681007990166,0.0434782608695652
"758",0.182899236906717,33,4,0.0202827289489859,0.0434782608695652
"1619",0.182899236906717,34,5,0.0208973570989551,0.0543478260869565
"189",0.182607556937927,35,6,0.0215119852489244,0.0652173913043478
"28",0.182213217512336,36,6,0.0221266133988937,0.0652173913043478
"786",0.181295490160781,37,7,0.0227412415488629,0.0760869565217391
"1502",0.181295490160781,38,7,0.0233558696988322,0.0760869565217391
"1009",0.180662003510553,39,7,0.0239704978488015,0.0760869565217391
"1089",0.180662003510553,40,7,0.0245851259987707,0.0760869565217391
"613",0.17887737448867,41,7,0.02519975414874,0.0760869565217391
"1102",0.17887737448867,42,7,0.0258143822987093,0.0760869565217391
"1410",0.17887737448867,43,7,0.0264290104486785,0.0760869565217391
"1555",0.178215555188758,44,7,0.0270436385986478,0.0760869565217391
"412",0.174878365883965,45,7,0.0276582667486171,0.0760869565217391
"689",0.174216016777385,46,7,0.0282728948985864,0.0760869565217391
"1380",0.174216016777385,47,7,0.0288875230485556,0.0760869565217391
"141",0.17248165849555,48,7,0.0295021511985249,0.0760869565217391
"688",0.17248165849555,49,7,0.0301167793484942,0.0760869565217391
"1262",0.17248165849555,50,7,0.0307314074984634,0.0760869565217391
"1333",0.17248165849555,51,7,0.0313460356484327,0.0760869565217391
"1621",0.171286608636238,52,8,0.031960663798402,0.0869565217391304
"585",0.170950146939601,53,8,0.0325752919483712,0.0869565217391304
"665",0.168628793479243,54,8,0.0331899200983405,0.0869565217391304
"1528",0.168628793479243,55,8,0.0338045482483098,0.0869565217391304
"1402",0.168596275475786,56,8,0.034419176398279,0.0869565217391304
"879",0.167137292796197,57,8,0.0350338045482483,0.0869565217391304
"392",0.165971845002635,58,8,0.0356484326982176,0.0869565217391304
"395",0.165971845002635,59,8,0.0362630608481868,0.0869565217391304
"1220",0.165971845002635,60,8,0.0368776889981561,0.0869565217391304
"1315",0.165971845002635,61,8,0.0374923171481254,0.0869565217391304
"1425",0.163531094203988,62,8,0.0381069452980946,0.0869565217391304
"1614",0.163531094203988,63,8,0.0387215734480639,0.0869565217391304
"260",0.162808484796739,64,8,0.0393362015980332,0.0869565217391304
"279",0.162808484796739,65,8,0.0399508297480025,0.0869565217391304
"980",0.162204360538853,66,9,0.0405654578979717,0.0978260869565217
"1445",0.161882254301607,67,9,0.041180086047941,0.0978260869565217
"564",0.154008759002613,68,10,0.0417947141979103,0.108695652173913
"922",0.154008759002613,69,10,0.0424093423478795,0.108695652173913
"1048",0.154008759002613,70,10,0.0430239704978488,0.108695652173913
"1411",0.154008759002613,71,10,0.0436385986478181,0.108695652173913
"1470",0.154008759002613,72,10,0.0442532267977873,0.108695652173913
